Date,YAHOO/INDEX_IBEX - Adjusted Close_x,YAHOO/INDEX_DJI - Adjusted Close,YAHOO/INDEX_STOXX50E - Adjusted Close,YAHOO/INDEX_N225 - Adjusted Close,YAHOO/INDEX_FCHI - Adjusted Close,YAHOO/INDEX_GDAXI - Adjusted Close,YAHOO/INDEX_IBEX - Adjusted Close_y
2005-09-14,10459.089011,10544.900391,3338.99,12834.25,4470.430176,4911.169922,10475.689581
2005-09-15,10475.689581,10558.75,3339.02,12986.780273,4479.390137,4905.97998,10532.088937
2005-09-16,10532.088937,10641.94043,3366.57,12958.679688,4509.490234,4986.5,10535.989324
2005-09-19,10535.989324,10557.629883,3356.28,,4505.680176,4926.129883,10583.389667
2005-09-20,10583.389667,10481.519531,3375.79,13148.570312,4531.799805,4962.859863,10500.289165
2005-09-21,10500.289165,10378.030273,3326.78,13196.570312,4468.060059,4875.220215,10536.588933
2005-09-22,10536.588933,10422.049805,3312.26,13159.360352,4448.149902,4849.009766,10631.189423
2005-09-23,10631.189423,10419.589844,3331.55,,4477.200195,4882.580078,10724.889523
2005-09-26,10724.889523,10443.629883,3400.93,13392.629883,4566.919922,4998.160156,10678.48918
2005-09-27,10678.48918,10456.209961,3384.24,13310.040039,4546.799805,4965.879883,10801.68925
2005-09-28,10801.68925,10473.089844,3429.42,13435.910156,4599.629883,5048.740234,10780.588686
2005-09-29,10780.588686,10552.780273,3412.75,13617.240234,4578.859863,5021.169922,10813.889433
2005-09-30,10813.889433,10568.700195,3428.51,13574.299805,4600.02002,5044.120117,10880.68917
2005-10-03,10880.68917,10535.480469,3449.34,13525.280273,4622.540039,5082.069824,10919.189131
2005-10-04,10919.189131,10441.110352,3464.23,13738.839844,4650.240234,5138.02002,10823.088643
2005-10-05,10823.088643,10317.360352,3418.84,13689.889648,4594.109863,5069.419922,10750.889497
2005-10-06,10750.889497,10287.099609,3384.15,13359.509766,4536.899902,5017.27002,10732.389516
2005-10-07,10732.389516,10292.30957,3374.1,13227.740234,4528.790039,5007.77002,10800.588665
2005-10-10,10800.588665,10238.759766,3381.17,,4536.220215,5022.790039,10810.189242
2005-10-11,10810.189242,10253.169922,3387.46,13556.709961,4549.680176,5032.459961,10721.788941
2005-10-12,10721.788941,10216.910156,3359.85,13463.740234,4515.049805,4981.77002,10567.088902
2005-10-13,10567.088902,10216.589844,3331.42,13449.240234,4470.129883,4950.069824,10629.289034
2005-10-14,10629.289034,10287.339844,3349.58,13420.540039,4482.129883,4975.560059,10629.489229
2005-10-17,10629.489229,10348.099609,3356.77,13400.290039,4489.209961,4978.830078,10529.889721
2005-10-18,10529.889721,10285.259766,3334.79,13352.240234,4461.140137,4947.180176,10402.489459
2005-10-19,10402.489459,10414.129883,3279.61,13129.490234,4375.089844,4845.97998,10382.289285
2005-10-20,10382.289285,10281.099609,3284.77,13190.459961,4390.660156,4864.25,10368.789298
2005-10-21,10368.789298,10215.219727,3271.05,13199.950195,4366.52002,4838.399902,10534.489326
2005-10-24,10534.489326,10385.0,3310.13,13106.179688,4421.970215,4901.790039,10476.588994
2005-10-25,10476.588994,10377.870117,3292.52,13280.620117,4396.990234,4872.970215,10473.389778
2005-10-26,10473.389778,10344.980469,3304.27,13395.019531,4412.700195,4900.790039,10328.589144
2005-10-27,10328.589144,10229.950195,3241.14,13417.080078,4336.410156,4806.049805,10339.489523
2005-10-28,10339.489523,10402.769531,3245.98,13346.540039,4326.709961,4825.640137,10493.789172
2005-10-31,10493.789172,10440.070312,3320.15,13606.5,4436.450195,4929.069824,10427.18963
2005-11-01,10427.18963,10406.769531,3312.45,13867.860352,4434.75,4922.549805,10424.489437
2005-11-02,10424.489437,10472.730469,3320.62,13894.780273,4429.649902,4954.830078,10476.889775
2005-11-03,10476.889775,10522.589844,3361.64,,4502.02002,5011.0,10412.289254
2005-11-04,10412.289254,10530.759766,3355.28,14075.959961,4498.700195,4995.240234,10420.889831
2005-11-07,10420.889831,10586.230469,3362.83,14061.599609,4503.649902,5024.200195,10440.189616
2005-11-08,10440.189616,10539.719727,3361.75,14036.730469,4503.620117,5008.830078,10456.28921
2005-11-09,10456.28921,10546.209961,3355.77,14072.200195,4480.22998,5011.379883,10438.389814
2005-11-10,10438.389814,10640.099609,3361.05,14080.879883,4479.5,5015.549805,10510.289155
2005-11-11,10510.289155,10686.040039,3406.23,14155.05957,4536.490234,5090.75,10504.588965
2005-11-14,10504.588965,10697.169922,3412.19,14116.040039,4548.450195,5092.430176,10456.28921
2005-11-15,10456.28921,10686.44043,3413.96,14091.769531,4543.149902,5110.609863,10391.689666
2005-11-16,10391.689666,10674.759766,3391.59,14170.870117,4512.129883,5081.459961,10445.189611
2005-11-17,10445.189611,10720.219727,3404.12,14411.790039,4523.180176,5099.720215,10527.088942
2005-11-18,10527.088942,10766.330078,3427.18,14623.120117,4556.22998,5123.5,10535.088934
2005-11-21,10535.088934,10820.280273,3450.01,14680.429688,4586.379883,5170.609863,10522.889728
2005-11-22,10522.889728,10871.429688,3450.51,14708.320312,4580.810059,5174.720215,10626.689428
2005-11-23,10626.689428,10916.089844,3471.43,,4608.649902,5196.080078,10634.18942
2005-11-24,10634.18942,,3459.15,14742.580078,4586.839844,5187.97998,10656.289007
2005-11-25,10656.289007,10931.620117,3466.08,14784.290039,4600.47998,5194.27002,10618.789045
2005-11-28,10618.789045,10890.719727,3453.11,14986.94043,4575.310059,5176.589844,10620.088848
2005-11-29,10620.088848,10888.160156,3463.67,14927.700195,4588.72998,5199.47998,10557.789107
2005-11-30,10557.789107,10805.870117,3447.07,14872.150391,4567.410156,5193.399902,10678.689375
2005-12-01,10678.689375,10912.570312,3501.53,15130.5,4636.459961,5266.549805,10649.789013
2005-12-02,10649.789013,10877.509766,3519.66,15421.599609,4662.5,5307.990234,10532.088937
