@relation "5DayNormal"

@attribute Date DATE "yy-MM-dd"
@attribute Ibex5 NUMERIC
@attribute DowJones5 NUMERIC
@attribute Stoxx5 NUMERIC
@attribute Nikkei5 NUMERIC
@attribute Francia5 NUMERIC
@attribute Alemania5 NUMERIC
@attribute Ibex4 NUMERIC
@attribute DowJones4 NUMERIC
@attribute Stoxx4 NUMERIC
@attribute Nikkei4 NUMERIC
@attribute Francia4 NUMERIC
@attribute Alemania4 NUMERIC
@attribute Ibex3 NUMERIC
@attribute DowJones3 NUMERIC
@attribute Stoxx3 NUMERIC
@attribute Nikkei3 NUMERIC
@attribute Francia3 NUMERIC
@attribute Alemania3 NUMERIC
@attribute Ibex2 NUMERIC
@attribute DowJones2 NUMERIC
@attribute Stoxx2 NUMERIC
@attribute Nikkei2 NUMERIC
@attribute Francia2 NUMERIC
@attribute Alemania2 NUMERIC
@attribute Ibex1 NUMERIC
@attribute DowJones1 NUMERIC
@attribute Stoxx1 NUMERIC
@attribute Nikkei1 NUMERIC
@attribute Francia1 NUMERIC
@attribute Alemania1 NUMERIC
@attribute Close {0.0, 1.0}

@data
2000-02-04,11580.099609,10963.799805,5119.79,19763.130859,6275.720215,7444.609863,11506.799805,10905.790039,5041.08,19945.429688,6203.580078,7296.319823999999,11834.799805,10957.599609,5176.17,19868.880859,6297.660156,7549.879883,11939.5,10699.160156,5191.79,20007.769531,6271.600098,7629.109863,12020.599609,10643.629883,5174.35,19710.019531,6207.52002,7709.27002,1.0
2000-02-07,11506.799805,10905.790039,5041.08,19945.429688,6203.580078,7296.319823999999,11834.799805,10957.599609,5176.17,19868.880859,6297.660156,7549.879883,11939.5,10699.160156,5191.79,20007.769531,6271.600098,7629.109863,12020.599609,10643.629883,5174.35,19710.019531,6207.52002,7709.27002,12432.599609,10425.209961,5195.67,19710.019531,6287.009765999999,7611.549805,1.0
2000-02-08,11834.799805,10957.599609,5176.17,19868.880859,6297.660156,7549.879883,11939.5,10699.160156,5191.79,20007.769531,6271.600098,7629.109863,12020.599609,10643.629883,5174.35,19710.019531,6207.52002,7709.27002,12432.599609,10425.209961,5195.67,19710.019531,6287.009765999999,7611.549805,12458.599609,10519.839844,5166.08,19556.460938,6268.319824,7644.799805,0.0
2000-02-09,11939.5,10699.160156,5191.79,20007.769531,6271.600098,7629.109863,12020.599609,10643.629883,5174.35,19710.019531,6207.52002,7709.27002,12432.599609,10425.209961,5195.67,19710.019531,6287.009765999999,7611.549805,12458.599609,10519.839844,5166.08,19556.460938,6268.319824,7644.799805,12165.099609,10718.089844,5043.33,19367.830078,6092.629883,7396.129883,1.0
2000-02-10,12020.599609,10643.629883,5174.35,19710.019531,6207.52002,7709.27002,12432.599609,10425.209961,5195.67,19710.019531,6287.009765999999,7611.549805,12458.599609,10519.839844,5166.08,19556.460938,6268.319824,7644.799805,12165.099609,10718.089844,5043.33,19367.830078,6092.629883,7396.129883,12235.099609,10561.410156,5063.73,19599.179688,6046.27002,7490.319823999999,1.0
2000-02-11,12432.599609,10425.209961,5195.67,19710.019531,6287.009765999999,7611.549805,12458.599609,10519.839844,5166.08,19556.460938,6268.319824,7644.799805,12165.099609,10718.089844,5043.33,19367.830078,6092.629883,7396.129883,12235.099609,10561.410156,5063.73,19599.179688,6046.27002,7490.319823999999,12326.700195,10514.570312,5114.47,19791.400391,6154.959961,7580.529785,1.0
2000-02-14,12458.599609,10519.839844,5166.08,19556.460938,6268.319824,7644.799805,12165.099609,10718.089844,5043.33,19367.830078,6092.629883,7396.129883,12235.099609,10561.410156,5063.73,19599.179688,6046.27002,7490.319823999999,12326.700195,10514.570312,5114.47,19791.400391,6154.959961,7580.529785,12368.0,10219.519531,5079.59,19789.029297,6062.720215,7573.779785,0.0
2000-02-15,12165.099609,10718.089844,5043.33,19367.830078,6092.629883,7396.129883,12235.099609,10561.410156,5063.73,19599.179688,6046.27002,7490.319823999999,12326.700195,10514.570312,5114.47,19791.400391,6154.959961,7580.529785,12368.0,10219.519531,5079.59,19789.029297,6062.720215,7573.779785,12260.299805,10219.519531,5033.33,19543.75,5967.279785,7590.529785,0.0
2000-02-16,12235.099609,10561.410156,5063.73,19599.179688,6046.27002,7490.319823999999,12326.700195,10514.570312,5114.47,19791.400391,6154.959961,7580.529785,12368.0,10219.519531,5079.59,19789.029297,6062.720215,7573.779785,12260.299805,10219.519531,5033.33,19543.75,5967.279785,7590.529785,12076.900391,10304.839844,5024.05,19390.580078,5963.310059,7607.939941,1.0
2000-02-17,12326.700195,10514.570312,5114.47,19791.400391,6154.959961,7580.529785,12368.0,10219.519531,5079.59,19789.029297,6062.720215,7573.779785,12260.299805,10219.519531,5033.33,19543.75,5967.279785,7590.529785,12076.900391,10304.839844,5024.05,19390.580078,5963.310059,7607.939941,12312.299805,10225.730469,5086.0,19519.550781,6031.25,7698.970215,1.0
